Title,Budget,Domestic_Gross,Year,Crit_Rating,Aud_Rating,Runtime_Min,Genre,MPAA_Rating
DEEP BLUE SEA,60000000,73648228,1999,60,38.0,100.0,"Action & Adventure, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",R
RUNAWAY BRIDE,70000000,152257509,1999,46,53.0,109.0,"Comedy, Drama, Romance",PG
THE IRON GIANT,50000000,23159305,1999,96,90.0,86.0,"Animation, Kids & Family, Science Fiction & Fantasy",PG
THE SIXTH SENSE,40000000,293506292,1999,86,90.0,105.0,Mystery & Suspense,PG-13
THE THOMAS CROWN AFFAIR,48000000,69304264,1999,78,74.0,102.0,"Action & Adventure, Classics, Drama, Mystery & Suspense, Romance",R
THE THOMAS CROWN AFFAIR,48000000,69304264,1999,70,77.0,114.0,"Action & Adventure, Drama, Mystery & Suspense, Romance",R
MYSTERY MEN,68000000,29762011,1999,60,57.0,121.0,"Action & Adventure, Comedy, Science Fiction & Fantasy",PG-13
BOWFINGER,55000000,66458769,1999,81,61.0,97.0,Comedy,PG-13
BROKEDOWN PALACE,25000000,10115014,1999,31,66.0,101.0,"Drama, Mystery & Suspense",PG-13
MICKEY BLUE EYES,40000000,33864342,1999,45,42.0,102.0,Comedy,PG-13
UNIVERSAL SOLDIER II: THE RETURN,40000000,10447421,1999,5,24.0,83.0,"Action & Adventure, Science Fiction & Fantasy",R
IN TOO DEEP,7000000,14026509,1999,36,75.0,104.0,"Action & Adventure, Drama, Mystery & Suspense",R
THE 13TH WARRIOR,123000000,32698899,1999,33,65.0,103.0,"Action & Adventure, Cult Movies, Science Fiction & Fantasy",R
THE MUSE,15000000,11614954,1999,53,34.0,97.0,"Comedy, Drama",PG-13
THE ASTRONAUTS WIFE,34000000,10672566,1999,15,33.0,110.0,"Horror, Mystery & Suspense, Science Fiction & Fantasy",R
CHILL FACTOR,34000000,11263966,1999,10,30.0,102.0,"Action & Adventure, Mystery & Suspense",R
STIGMATA,32000000,50041732,1999,22,63.0,102.0,"Drama, Horror",R
STIR OF ECHOES,12000000,21133087,1999,67,70.0,99.0,"Horror, Mystery & Suspense",R
AMERICAN BEAUTY,15000000,130058047,1999,87,93.0,122.0,"Comedy, Drama",R
BLUE STREAK,36000000,68208190,1999,36,65.0,90.0,"Action & Adventure, Comedy",PG-13
FOR LOVE OF THE GAME,50000000,35188640,1999,45,75.0,138.0,"Drama, Romance",PG-13
DOUBLE JEOPARDY,40000000,116735231,1999,27,61.0,105.0,"Action & Adventure, Mystery & Suspense",R
THREE KINGS,48000000,60652036,1999,94,77.0,115.0,"Action & Adventure, Comedy",R
DRIVE ME CRAZY,8000000,17843379,1999,28,53.0,91.0,Comedy,PG-13
THE ADVENTURES OF ELMO IN GROUCHLAND,17000000,11634458,1999,77,63.0,77.0,"Comedy, Kids & Family, Science Fiction & Fantasy",G
RANDOM HEARTS,63700000,31054924,1999,15,24.0,133.0,"Drama, Mystery & Suspense, Romance",R
SUPERSTAR,14000000,30628981,1999,32,60.0,82.0,Comedy,PG-13
BOYS DONT CRY,2000000,11540607,1999,88,87.0,116.0,Drama,R
FIGHT CLUB,65000000,37030102,1999,79,96.0,139.0,"Comedy, Drama",R
THE STORY OF US,50000000,27100030,1999,28,58.0,94.0,"Comedy, Drama, Romance",R
THE BEST MAN,9000000,34102780,1999,72,86.0,120.0,"Comedy, Drama",R
BRINGING OUT THE DEAD,32000000,16640210,1999,72,70.0,118.0,"Drama, Mystery & Suspense",R
THREE TO TANGO,20000000,10570375,1999,28,49.0,99.0,"Comedy, Drama, Romance",PG-13
BATS,6500000,10155691,1999,17,15.0,91.0,"Drama, Horror",R
HOUSE ON HAUNTED HILL,19000000,40846082,1999,92,73.0,74.0,"Classics, Drama, Horror",NR
HOUSE ON HAUNTED HILL,19000000,40846082,1999,30,42.0,96.0,"Horror, Mystery & Suspense",R
BEING JOHN MALKOVICH,13000000,22858926,1999,93,87.0,112.0,"Comedy, Drama, Science Fiction & Fantasy",R
THE BONE COLLECTOR,48000000,66488090,1999,28,63.0,118.0,Mystery & Suspense,R
THE INSIDER,68000000,28965197,1999,96,90.0,157.0,Drama,R
THE BACHELOR,21000000,21731001,1999,9,28.0,102.0,"Comedy, Romance",PG-13
ANYWHERE BUT HERE,23000000,18653615,1999,64,55.0,114.0,"Comedy, Drama",PG-13
THE MESSENGER: THE STORY OF JOAN OF ARC,50000000,14271297,1999,30,58.0,148.0,"Classics, Drama",R
TOY STORY 2,90000000,245852179,1999,100,86.0,92.0,"Animation, Comedy, Kids & Family",G
THE WORLD IS NOT ENOUGH,135000000,126930660,1999,52,49.0,125.0,"Action & Adventure, Mystery & Suspense",PG-13
SLEEPY HOLLOW,70000000,101068340,1999,68,80.0,105.0,"Horror, Mystery & Suspense, Romance",R
END OF DAYS,100000000,66889043,1999,11,32.0,122.0,"Action & Adventure, Horror",R
THE END OF THE AFFAIR,23000000,10660147,1999,67,74.0,105.0,"Drama, Romance",R
THE GREEN MILE,60000000,136801374,1999,79,94.0,188.0,"Drama, Mystery & Suspense, Science Fiction & Fantasy",R
DEUCE BIGALOW: MALE GIGOLO,18000000,65535067,1999,22,42.0,88.0,Comedy,R
STUART LITTLE,105000000,140015224,1999,67,41.0,85.0,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",PG
BICENTENNIAL MAN,90000000,58220776,1999,36,58.0,131.0,"Comedy, Drama, Science Fiction & Fantasy",PG
ANNA AND THE KING,75000000,39251128,1999,51,64.0,147.0,"Classics, Drama, Romance",PG-13
MAGNOLIA,37000000,22450975,1999,83,89.0,188.0,Drama,R
"GIRL, INTERRUPTED",24000000,28871190,1999,54,84.0,127.0,Drama,R
ANY GIVEN SUNDAY,60000000,75530832,1999,52,73.0,165.0,"Action & Adventure, Drama",R
MAN ON THE MOON,52000000,34580635,1999,63,79.0,118.0,"Comedy, Drama",R
THE TALENTED MR. RIPLEY,40000000,81292135,1999,83,80.0,139.0,"Drama, Mystery & Suspense",R
GALAXY QUEST,45000000,71423726,1999,90,79.0,102.0,"Comedy, Science Fiction & Fantasy",PG
SNOW FALLING ON CEDARS,36000000,14378353,1999,40,68.0,127.0,"Drama, Romance",PG-13
ANGELAS ASHES,25000000,13038660,1999,52,81.0,145.0,"Art House & International, Drama",R
THE HURRICANE,38000000,50699241,1999,83,87.0,146.0,"Drama, Mystery & Suspense, Sports & Fitness",R
FANTASIA 2000 (THEATRICAL RELEASE),80000000,69610858,1999,81,75.0,90.0,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",G
NEXT FRIDAY,9500000,57176582,2000,22,76.0,98.0,Comedy,R
MY DOG SKIP,7000000,34099640,2000,73,68.0,95.0,"Drama, Kids & Family",PG
SUPERNOVA,60000000,14218868,2000,10,17.0,90.0,"Horror, Science Fiction & Fantasy",PG-13
DOWN TO YOU,9000000,20035310,2000,3,49.0,91.0,"Comedy, Romance",PG-13
EYE OF THE BEHOLDER,15000000,16500786,2000,9,32.0,101.0,"Drama, Mystery & Suspense, Romance",R
SCREAM 3,40000000,89138076,2000,39,37.0,116.0,Horror,R
SNOW DAY,13000000,60008303,2000,29,27.0,87.0,"Comedy, Kids & Family",PG
THE TIGGER MOVIE,20000000,45542421,2000,62,62.0,77.0,"Animation, Kids & Family",G
THE BEACH,50000000,39778599,2000,20,57.0,119.0,"Action & Adventure, Drama, Romance",R
THE WHOLE NINE YARDS,24000000,57262492,2000,45,64.0,98.0,Comedy,R
PITCH BLACK,23000000,39235088,2000,59,77.0,108.0,"Horror, Science Fiction & Fantasy",R
HANGING UP,40000000,36037909,2000,12,34.0,95.0,"Comedy, Drama",PG-13
BOILER ROOM,9000000,16963963,2000,66,78.0,119.0,"Drama, Mystery & Suspense",R
WONDER BOYS,35000000,19389454,2000,82,83.0,112.0,"Comedy, Drama",R
REINDEER GAMES,36000000,23360779,2000,25,27.0,104.0,"Action & Adventure, Drama, Mystery & Suspense",R
DROWNING MONA,16000000,15427192,2000,29,46.0,95.0,"Comedy, Drama",PG-13
THE NEXT BEST THING,25000000,14983572,2000,19,35.0,108.0,"Art House & International, Comedy, Drama",PG-13
MISSION TO MARS,90000000,60874615,2000,25,30.0,112.0,"Drama, Mystery & Suspense, Science Fiction & Fantasy",PG
THE NINTH GATE,38000000,18653746,2000,43,57.0,133.0,"Drama, Mystery & Suspense",R
ERIN BROCKOVICH,50000000,125548685,2000,84,81.0,131.0,"Comedy, Drama",R
FINAL DESTINATION,23000000,53302314,2000,34,68.0,98.0,"Horror, Mystery & Suspense",R
ROMEO MUST DIE,25000000,55973336,2000,33,61.0,115.0,Action & Adventure,R
HERE ON EARTH,15000000,10494147,2000,17,61.0,96.0,"Drama, Romance",PG-13
THE ROAD TO EL DORADO,95000000,50802661,2000,48,65.0,89.0,"Action & Adventure, Animation, Comedy, Kids & Family",PG
THE SKULLS,15000000,35007180,2000,9,43.0,106.0,"Horror, Mystery & Suspense",PG-13
HIGH FIDELITY,20000000,27277055,2000,91,90.0,113.0,"Comedy, Drama, Romance",R
RULES OF ENGAGEMENT,60000000,61322858,2000,36,55.0,127.0,"Action & Adventure, Drama, Mystery & Suspense",R
RETURN TO ME,24000000,32662299,2000,62,79.0,116.0,"Comedy, Drama, Romance",PG
READY TO RUMBLE,24000000,12372410,2000,23,52.0,106.0,"Action & Adventure, Comedy",PG-13
KEEPING THE FAITH,29000000,37036404,2000,69,59.0,127.0,"Comedy, Romance",PG-13
28 DAYS,43000000,37035515,2000,32,50.0,103.0,"Comedy, Drama",PG-13
AMERICAN PSYCHO,8000000,15070285,2000,68,85.0,97.0,"Comedy, Drama, Horror, Mystery & Suspense",R
U-571,62000000,77086030,2000,68,62.0,117.0,"Action & Adventure, Drama, Mystery & Suspense",PG-13
LOVE AND BASKETBALL,15000000,27441122,2000,82,95.0,124.0,"Drama, Romance",PG-13
FREQUENCY,31000000,44983704,2000,70,81.0,121.0,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13
THE FLINTSTONES IN VIVA ROCK VEGAS,58000000,35231365,2000,25,21.0,92.0,Comedy,PG
WHERE THE HEART IS,15000000,33771174,2000,10,58.0,115.0,"Comedy, Drama",R
WHERE THE HEART IS,15000000,33771174,2000,35,76.0,120.0,"Comedy, Drama, Romance",PG-13
GLADIATOR,103000000,187683805,2000,31,69.0,102.0,"Action & Adventure, Drama",R
GLADIATOR,103000000,187683805,2000,76,87.0,171.0,"Action & Adventure, Classics, Drama",R
MICHAEL JORDAN TO THE MAX,7000000,18642318,2000,67,80.0,45.0,"Documentary, Special Interest, Sports & Fitness",G
BATTLEFIELD EARTH: A SAGA OF THE YEAR 3000,80000000,21471685,2000,3,12.0,118.0,"Action & Adventure, Horror, Science Fiction & Fantasy",PG-13
CENTER STAGE,18000000,17200925,2000,42,82.0,115.0,"Drama, Musical & Performing Arts",PG-13
DINOSAUR,127000000,137748063,2000,64,48.0,82.0,"Action & Adventure, Animation, Kids & Family",PG
ROAD TRIP,16000000,68525609,2000,58,65.0,93.0,Comedy,R
SMALL TIME CROOKS,18000000,17266359,2000,66,57.0,94.0,"Comedy, Drama",PG
MISSION: IMPOSSIBLE 2,120000000,215409889,2000,57,43.0,123.0,"Action & Adventure, Mystery & Suspense",PG-13
SHANGHAI NOON,55000000,56932305,2000,79,65.0,110.0,"Action & Adventure, Comedy, Western",PG-13
BIG MOMMAS HOUSE,33000000,117559438,2000,30,57.0,99.0,"Action & Adventure, Comedy",PG-13
GONE IN 60 SECONDS,103000000,101643008,2000,43,66.0,105.0,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense",PG
SHAFT,53000000,70327868,2000,88,68.0,100.0,"Action & Adventure, Classics",R
SHAFT,53000000,70327868,2000,67,41.0,98.0,"Action & Adventure, Drama",R
SHAFT,53000000,70327868,2000,32,94.0,119.0,"Action & Adventure, Comedy",R
TITAN A.E.,75000000,22751979,2000,51,60.0,95.0,"Animation, Kids & Family, Science Fiction & Fantasy",PG
BOYS AND GIRLS,16000000,21799652,2000,11,50.0,93.0,"Comedy, Romance",PG-13
CHICKEN RUN,42000000,106793915,2000,97,64.0,85.0,"Action & Adventure, Animation, Comedy, Drama, Kids & Family",G
"ME, MYSELF & IRENE",51000000,90570999,2000,47,57.0,117.0,Comedy,R
THE PATRIOT,110000000,113330342,2000,61,81.0,168.0,"Action & Adventure, Drama",R
THE PERFECT STORM,120000000,182618434,2000,47,64.0,129.0,"Action & Adventure, Drama",PG-13
THE ADVENTURES OF ROCKY & BULLWINKLE,75000000,26000610,2000,44,20.0,92.0,"Comedy, Kids & Family, Science Fiction & Fantasy",PG
SCARY MOVIE,19000000,157019771,2000,53,43.0,88.0,"Comedy, Horror",R
THE KID,65000000,69688384,2000,100,95.0,60.0,"Classics, Comedy",NR
THE KID,65000000,69688384,2000,49,49.0,104.0,"Comedy, Kids & Family, Science Fiction & Fantasy",PG
THE KID,65000000,69688384,2000,45,48.0,99.0,"Drama, Western",R
X-MEN,75000000,157299717,2000,81,83.0,104.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
WHAT LIES BENEATH,90000000,155464351,2000,46,58.0,130.0,"Drama, Horror, Mystery & Suspense",PG-13
LOSER,20000000,15464026,2000,24,35.0,96.0,"Comedy, Drama, Romance",PG-13
THOMAS AND THE MAGIC RAILROAD,19000000,15911332,2000,21,41.0,95.0,"Kids & Family, Musical & Performing Arts",G
NUTTY PROFESSOR II: THE KLUMPS,84000000,123307945,2000,26,33.0,107.0,"Comedy, Kids & Family",PG-13
SPACE COWBOYS,65000000,90454043,2000,78,53.0,135.0,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",PG-13
HOLLOW MAN,90000000,73209340,2000,28,27.0,112.0,"Action & Adventure, Horror, Science Fiction & Fantasy",R
COYOTE UGLY,45000000,60786269,2000,23,71.0,100.0,"Comedy, Drama",PG-13
SAVING GRACE,4000000,12178602,2000,63,83.0,95.0,"Comedy, Drama",R
THE REPLACEMENTS,50000000,44737059,2000,41,66.0,118.0,"Comedy, Drama, Sports & Fitness",PG-13
AUTUMN IN NEW YORK,40000000,37752931,2000,19,54.0,103.0,"Drama, Romance",PG-13
BLESS THE CHILD,40000000,29374178,2000,3,43.0,107.0,"Drama, Horror, Mystery & Suspense",R
THE CELL,35000000,61280963,2000,45,57.0,106.0,"Horror, Mystery & Suspense, Science Fiction & Fantasy",R
GODZILLA 2000,1000000,10037390,2000,57,54.0,99.0,"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",PG
BRING IT ON,10000000,68353550,2000,63,66.0,99.0,Comedy,PG-13
THE ART OF WAR,40000000,30199105,2000,16,36.0,120.0,"Action & Adventure, Drama, Mystery & Suspense",R
THE CREW,23000000,13019253,2000,20,35.0,87.0,Comedy,PG-13
HIGHLANDER: ENDGAME,15000000,12801190,2000,11,38.0,85.0,"Action & Adventure, Science Fiction & Fantasy",R
THE WATCHER,33000000,28946615,2000,10,29.0,97.0,"Drama, Mystery & Suspense",R
NURSE BETTY,24000000,25170054,2000,83,45.0,108.0,"Comedy, Drama",R
ALMOST FAMOUS,60000000,32522352,2000,89,92.0,123.0,"Comedy, Drama",R
BAIT,35000000,15325127,2000,26,40.0,119.0,"Action & Adventure, Comedy, Drama, Mystery & Suspense",R
BAIT,35000000,15325127,2000,47,28.0,94.0,"Action & Adventure, Horror, Mystery & Suspense",R
URBAN LEGENDS: FINAL CUT,15000000,21468807,2000,9,20.0,99.0,Horror,R
BEST IN SHOW,6000000,18621249,2000,94,89.0,91.0,Comedy,PG-13
REMEMBER THE TITANS,30000000,115654751,2000,73,93.0,113.0,Drama,PG
MEET THE PARENTS,55000000,166225040,2000,84,79.0,108.0,Comedy,PG-13
GET CARTER,40000000,14967182,2000,84,85.0,112.0,"Action & Adventure, Drama, Mystery & Suspense",R
GET CARTER,40000000,14967182,2000,12,28.0,102.0,"Action & Adventure, Drama, Mystery & Suspense",R
BILLY ELLIOT,5000000,21995263,2000,85,89.0,110.0,"Comedy, Drama, Musical & Performing Arts",R
THE CONTENDER,9000000,17804273,2000,76,73.0,126.0,"Drama, Mystery & Suspense",R
LOST SOULS,28000000,16779636,2000,8,22.0,102.0,"Drama, Horror, Mystery & Suspense",R
THE LADIES MAN,11000000,13592872,2000,11,42.0,84.0,Comedy,R
THE LADIES MAN,11000000,13592872,2000,100,69.0,95.0,"Classics, Comedy",NR
BEDAZZLED,48000000,37879996,2000,49,42.0,93.0,"Comedy, Science Fiction & Fantasy",PG-13
BEDAZZLED,48000000,37879996,2000,82,74.0,107.0,"Classics, Comedy, Science Fiction & Fantasy",PG
PAY IT FORWARD,40000000,33508922,2000,40,77.0,123.0,"Drama, Romance",PG-13
BOOK OF SHADOWS: BLAIR WITCH 2,15000000,26421314,2000,14,18.0,90.0,Horror,R
THE LITTLE VAMPIRE,22000000,13555988,2000,55,55.0,105.0,"Action & Adventure, Comedy, Kids & Family",PG
LUCKY NUMBERS,65000000,10014234,2000,22,19.0,105.0,Comedy,R
CHARLIES ANGELS,90000000,125305545,2000,68,45.0,98.0,"Action & Adventure, Comedy",PG-13
THE LEGEND OF BAGGER VANCE,60000000,30695227,2000,43,65.0,127.0,"Drama, Science Fiction & Fantasy",PG-13
MEN OF HONOR,32000000,48814909,2000,42,81.0,129.0,Drama,R
LITTLE NICKY,80000000,39442871,2000,22,56.0,84.0,Comedy,PG-13
RED PLANET,80000000,17480890,2000,14,28.0,108.0,"Mystery & Suspense, Science Fiction & Fantasy",PG-13
HOW THE GRINCH STOLE CHRISTMAS,120000000,260044825,2000,100,96.0,26.0,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television",NR
BOUNCE,35000000,36805288,2000,52,32.0,106.0,"Drama, Romance",PG-13
THE 6TH DAY,82000000,34543701,2000,41,32.0,123.0,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",PG-13
UNBREAKABLE,73000000,94999143,2000,70,77.0,107.0,"Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13
102 DALMATIANS,85000000,66941559,2000,31,32.0,100.0,"Comedy, Kids & Family",G
"CROUCHING TIGER, HIDDEN DRAGON",15000000,128067808,2000,97,86.0,120.0,"Action & Adventure, Art House & International, Drama, Romance",PG-13
VERTICAL LIMIT,75000000,68473360,2000,48,41.0,124.0,"Action & Adventure, Drama",PG-13
PROOF OF LIFE,65000000,32598931,2000,39,43.0,136.0,"Action & Adventure, Drama, Mystery & Suspense, Romance",R
SNATCH,10000000,30093107,2000,73,93.0,103.0,"Action & Adventure, Comedy, Drama, Mystery & Suspense",R
DUNGEONS AND DRAGONS,35000000,15185241,2000,10,20.0,107.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
WHAT WOMEN WANT,65000000,182805123,2000,0,29.0,116.0,"Art House & International, Comedy, Romance",NR
WHAT WOMEN WANT,65000000,182805123,2000,54,54.0,127.0,Comedy,PG-13
THE EMPERORS NEW GROOVE,100000000,89296573,2000,85,83.0,79.0,"Animation, Kids & Family, Science Fiction & Fantasy",G
CHOCOLAT,25000000,71309760,2000,62,83.0,121.0,"Comedy, Romance",PG-13
"DUDE, WHERES MY CAR?",13000000,46729374,2000,17,47.0,83.0,Comedy,PG-13
FINDING FORRESTER,43000000,51768623,2000,74,79.0,136.0,"Comedy, Drama",PG-13
THE GIFT,10000000,12008642,2000,57,55.0,112.0,"Drama, Mystery & Suspense",R
THE GIFT,10000000,12008642,2000,92,75.0,108.0,Mystery & Suspense,R
THE GIFT,5000000,43787265,2015,57,55.0,112.0,"Drama, Mystery & Suspense",R
THE GIFT,5000000,43787265,2015,92,75.0,108.0,Mystery & Suspense,R
CAST AWAY,85000000,233632142,2000,88,84.0,143.0,"Action & Adventure, Drama",PG-13
MISS CONGENIALITY,45000000,106807667,2000,42,69.0,105.0,"Action & Adventure, Comedy",PG-13
THE FAMILY MAN,60000000,75764085,2000,53,67.0,125.0,"Comedy, Drama, Science Fiction & Fantasy, Romance",PG-13
"O BROTHER, WHERE ART THOU?",26000000,45506619,2000,77,89.0,106.0,"Comedy, Drama",PG-13
THIRTEEN DAYS,80000000,34566746,2000,83,80.0,145.0,Drama,PG-13
DRACULA 2000,28000000,33000377,2000,18,39.0,98.0,Horror,R
ALL THE PRETTY HORSES,45000000,15527125,2000,32,42.0,116.0,"Drama, Mystery & Suspense",PG-13
TRAFFIC,48000000,124107476,2000,92,85.0,147.0,Drama,R
SAVE THE LAST DANCE,13000000,91038276,2001,52,59.0,112.0,"Drama, Romance",PG-13
DOUBLE TAKE,24000000,29823162,2001,12,50.0,88.0,"Action & Adventure, Comedy",PG-13
ANTITRUST,30000000,10965209,2001,24,50.0,110.0,"Action & Adventure, Drama, Mystery & Suspense",PG-13
THE PLEDGE,45000000,19719930,2001,78,59.0,124.0,"Drama, Mystery & Suspense",R
THE WEDDING PLANNER,28000000,60400856,2001,16,59.0,104.0,"Comedy, Romance",PG-13
VALENTINE,10000000,20384136,2001,11,33.0,96.0,"Horror, Mystery & Suspense",R
HANNIBAL,86000000,165092266,2001,39,62.0,131.0,"Drama, Mystery & Suspense",R
SAVING SILVERMAN,22000000,19351569,2001,18,51.0,95.0,Comedy,PG-13
DOWN TO EARTH,30000000,64172251,2001,20,40.0,87.0,"Comedy, Drama",PG-13
